NODES,30
1,1,-,-
2,2,-,-
3,3,-,-
4,4,-,-
5,5,-,-
6,6,-,-
7,7,-,-
8,8,-,-
9,9,-,-
10,10,-,-
11,11,-,-
12,12,-,-
13,13,-,-
14,14,-,-
15,15,-,-
16,16,-,-
17,17,-,-
18,18,-,-
19,19,-,-
20,20,-,-
21,21,-,-
22,22,-,-
23,23,-,-
24,24,-,-
25,25,-,-
26,26,-,-
27,27,-,-
28,28,-,-
29,29,-,-
30,30,-,-
ARCS,678
0,1,9,2,485,523,882.0,882,882.0
1,1,6,4,111,454,202.0,202,202.0
2,1,13,9,479,536,871.0,871,871.0
3,1,19,4,508,527,924.0,924,924.0
4,1,7,3,245,497,446.0,446,446.0
5,1,4,9,333,282,606.0,606,606.0
6,1,23,8,181,432,330.0,330,330.0
7,1,5,9,549,355,999.0,999,999.0
8,1,2,2,315,523,573.0,573,573.0
9,1,20,7,572,461,1040.0,1040,1040.0
10,1,16,2,397,381,722.0,722,722.0
11,1,11,9,531,465,966.0,966,966.0
12,1,12,4,380,544,691.0,691,691.0
13,1,21,4,140,222,255.0,255,255.0
14,1,26,8,88,290,160.0,160,160.0
15,1,18,2,555,509,1010.0,1010,1010.0
16,1,15,2,205,317,373.0,373,373.0
17,1,3,6,455,377,828.0,828,828.0
18,1,28,5,525,354,955.0,955,955.0
19,1,24,4,356,528,648.0,648,648.0
20,1,25,8,234,245,426.0,426,426.0
21,1,29,2,228,498,415.0,415,415.0
22,2,14,6,170,289,310.0,310,310.0
23,2,5,1,578,187,1051.0,1051,1051.0
24,2,25,3,88,196,160.0,160,160.0
25,2,6,6,199,194,362.0,362,362.0
26,2,18,1,455,295,828.0,828,828.0
27,2,4,3,432,404,786.0,786,786.0
28,2,21,3,152,259,277.0,277,277.0
29,2,24,9,210,449,382.0,382,382.0
30,2,27,9,310,295,564.0,564,564.0
31,2,15,2,199,312,362.0,362,362.0
32,2,29,1,333,164,606.0,606,606.0
33,2,28,7,228,293,415.0,415,415.0
34,2,11,5,65,520,119.0,119,119.0
35,2,1,9,257,328,468.0,468,468.0
36,2,13,2,135,328,246.0,246,246.0
37,2,19,4,123,528,224.0,224,224.0
38,2,8,1,333,534,606.0,606,606.0
39,2,3,2,560,549,1019.0,1019,1019.0
40,2,9,3,333,176,606.0,606,606.0
41,2,17,2,59,221,108.0,108,108.0
42,2,7,2,531,223,966.0,966,966.0
43,2,22,8,135,485,246.0,246,246.0
44,2,12,5,356,126,648.0,648,648.0
45,2,23,7,444,300,808.0,808,808.0
46,2,26,8,76,401,139.0,139,139.0
47,3,27,3,292,255,531.0,531,531.0
48,3,4,2,350,486,637.0,637,637.0
49,3,29,4,520,333,946.0,946,946.0
50,3,8,4,175,204,319.0,319,319.0
51,3,5,4,245,430,446.0,446,446.0
52,3,9,6,572,354,1040.0,1040,1040.0
53,3,1,9,263,521,479.0,479,479.0
54,3,10,6,234,326,426.0,426,426.0
55,3,2,1,140,560,255.0,255,255.0
56,3,24,1,420,541,764.0,764,764.0
57,3,7,4,65,498,119.0,119,119.0
58,3,6,8,257,324,468.0,468,468.0
59,3,14,5,65,396,119.0,119,119.0
60,3,23,6,385,514,700.0,700,700.0
